"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"seq.213","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.214","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Candidatus_Stoquefichus",NA
"seq.215","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_FCS020_group",NA
"seq.216","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"seq.217","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA
"seq.218","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"seq.219","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.220","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"seq.221","Bacteria","Cyanobacteria","Chloroplast",NA,NA,NA,NA
"seq.222","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4B4_group",NA
"seq.223","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-006",NA
"seq.224","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA,NA
"seq.225","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9",NA,NA,NA
"seq.226","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group",NA,NA
"seq.227","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA
"seq.228","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Olsenella",NA
"seq.229","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9",NA,NA,NA
